name,instance_cost,api_calls,n_task_description_edits,n_reflection_prompt_edits,n_tools_created,n_unique_tools_created,n_custom_tool_uses
scikit-learn__scikit-learn-12973,0.15112315,41,,,4,4,4
django__django-11749,0.21455200000000002,41,,,10,10,25
django__django-15127,0.025198699999999997,15,,,2,1,3
django__django-11119,0.028376400000000003,15,,,3,3,7
django__django-16612,0.06040005,17,,,3,2,4
psf__requests-5414,0.05870990000000001,30,,,5,2,8
django__django-16429,0.01821205,12,,,2,2,3
pytest-dev__pytest-7521,0.07044174999999998,29,,,3,3,5
mwaskom__seaborn-3069,0.46921510000000005,64,,,8,8,13
sympy__sympy-23413,0.47666519999999996,40,,,18,3,21
django__django-13590,0.1853563,39,,,8,5,16
django__django-15629,0.30482620000000005,68,,,10,3,18
sympy__sympy-13031,0.024826200000000003,21,,,3,2,5
astropy__astropy-14369,0.12230869999999999,25,,,8,8,12
sphinx-doc__sphinx-9658,0.09365309999999999,28,,,14,14,15
django__django-15503,0.3102749499999999,56,,,30,8,53
pydata__xarray-7233,0.6904023,27,,,4,4,9
django__django-11133,0.03624475,20,,,5,3,9
matplotlib__matplotlib-21568,0.2923081,60,,,15,3,15
psf__requests-1142,0.46598185,45,,,9,8,23
pydata__xarray-3677,0.01160135,6,,,2,2,5
django__django-16595,0.07774050000000002,17,,,2,2,5
django__django-17084,0.37108389999999997,86,,,8,1,25
sympy__sympy-12489,0.25471889999999997,30,,,2,1,4
django__django-16938,0.0425292,21,,,5,3,12
scikit-learn__scikit-learn-15100,0.2336515,7,,,12,10,24
matplotlib__matplotlib-23476,0.32697135,76,,,6,5,15
django__django-16502,0.10510554999999999,18,,,6,4,11
django__django-14631,0.38002015,43,,,1,1,2
sympy__sympy-13877,0.10785639999999999,26,,,20,20,21
scikit-learn__scikit-learn-13779,0.010466650000000001,12,,,2,2,5
matplotlib__matplotlib-24177,0.40773859999999995,68,,,30,28,32
django__django-15252,0.1952055,25,,,10,3,3
django__django-11066,0.062474600000000005,13,,,5,2,5
django__django-14170,0.271883,56,,,5,3,13
django__django-16082,0.10713755000000001,24,,,4,1,6
django__django-15467,0.12930735000000002,28,,,6,4,11
django__django-16256,0.0792693,16,,,8,2,11
django__django-13741,0.1281262,26,,,7,2,10
django__django-11815,0.26455235000000005,56,,,20,19,24
django__django-13925,0.0460773,18,,,6,1,8
django__django-11276,0.0218399,5,,,2,2,3
scikit-learn__scikit-learn-13135,0.032455149999999995,13,,,4,4,6
sympy__sympy-22456,0.23001300000000002,10,,,5,3,9
sympy__sympy-18199,0.3189112999999999,26,,,118,4,9
astropy__astropy-13033,0.025009999999999998,10,,,4,3,9
scikit-learn__scikit-learn-11578,0.014610999999999999,10,,,1,1,2
django__django-11163,0.022374599999999994,21,,,1,1,3
scikit-learn__scikit-learn-11310,0.23211515000000002,50,,,4,4,12
sphinx-doc__sphinx-8459,0.3533525,27,,,5,4,7
