name,instance_cost,api_calls,n_task_description_edits,n_reflection_prompt_edits,n_tools_created,n_unique_tools_created,n_custom_tool_uses
scikit-learn__scikit-learn-12973,0.048818,5,,,1,1,1
django__django-11749,0.22998619999999997,17,,,7,7,10
django__django-15127,0.174444,16,,,1,1,1
django__django-11119,0.07511199999999998,11,,,3,2,3
django__django-16612,0.036627999999999994,5,,,0,0,0
psf__requests-5414,0.3285908,33,,,4,4,5
django__django-16429,0.063164,6,,,2,1,2
pytest-dev__pytest-7521,0.12500999999999998,12,,,1,1,2
mwaskom__seaborn-3069,0.3670739999999999,32,,,10,7,15
sympy__sympy-23413,0.5030383999999999,48,,,12,7,16
django__django-13590,1.057482,12,,,4,4,4
django__django-15629,0.17442,14,,,2,1,3
sympy__sympy-13031,4.0520338,42,,,4,4,8
astropy__astropy-14369,0.1665766,11,,,2,2,5
sphinx-doc__sphinx-9658,0.33094640000000003,33,,,8,8,10
django__django-15503,2.8484336000000003,25,,,3,1,8
pydata__xarray-7233,0.087182,7,,,1,1,2
django__django-11133,0.16587999999999997,15,,,4,3,5
matplotlib__matplotlib-21568,1.1719962,23,,,4,3,7
psf__requests-1142,0.13404239999999998,12,,,2,2,3
pydata__xarray-3677,0.100756,10,,,2,2,4
django__django-16595,0.049044000000000004,7,,,1,1,1
django__django-17084,0.6693809999999999,59,,,7,3,19
sympy__sympy-12489,0.5571523999999999,54,,,6,2,7
django__django-16938,0.113584,8,,,3,2,4
scikit-learn__scikit-learn-15100,0.07621599999999999,7,,,2,1,3
matplotlib__matplotlib-23476,0.48762119999999987,46,,,3,2,9
django__django-16502,1.3956842,23,,,7,7,9
django__django-14631,1.2146412000000002,17,,,2,2,2
sympy__sympy-13877,0.053522,5,,,1,1,2
scikit-learn__scikit-learn-13779,0.038766,6,,,1,1,2
matplotlib__matplotlib-24177,0.5312624,54,,,7,7,9
django__django-15252,0.08866,5,,,2,1,3
django__django-11066,0.021892000000000002,4,,,0,0,0
django__django-14170,0.12088600000000002,14,,,0,0,0
django__django-16082,0.030534000000000002,5,,,0,0,0
django__django-15467,0.0453,5,,,0,0,0
django__django-16256,0.11727000000000001,8,,,1,1,1
django__django-13741,0.12482799999999998,13,,,0,0,0
django__django-11815,0.23213040000000001,19,,,10,8,11
django__django-13925,0.239442,18,,,3,2,4
django__django-11276,0.19390000000000002,16,,,3,2,3
scikit-learn__scikit-learn-13135,0.051428,5,,,1,1,2
sympy__sympy-22456,3.841602,18,,,0,0,0
sympy__sympy-18199,1.10103,17,,,4,4,9
astropy__astropy-13033,0.041976,4,,,2,2,3
scikit-learn__scikit-learn-11578,0.10114199999999998,7,,,1,1,1
django__django-11163,0.025128,5,,,0,0,0
scikit-learn__scikit-learn-11310,0.20595380000000002,19,,,3,3,5
sphinx-doc__sphinx-8459,0.14103,12,,,2,1,2
