name,instance_cost,api_calls,n_task_description_edits,n_reflection_prompt_edits,n_tools_created,n_unique_tools_created,n_custom_tool_uses
scikit-learn__scikit-learn-12973,0.1877298,14,0,0,4,4,4
django__django-11749,0.5170828000000001,26,0,0,15,14,17
django__django-15127,0.31307759999999996,22,0,0,8,8,8
django__django-11119,0.313932,26,0,0,2,2,3
django__django-16612,0.266947,20,0,0,5,1,6
psf__requests-5414,0.5596732,45,0,0,11,11,12
django__django-16429,0.136182,8,0,0,3,3,4
pytest-dev__pytest-7521,0.45952139999999986,38,0,0,1,1,3
mwaskom__seaborn-3069,0.7982364,62,0,0,34,30,35
sympy__sympy-23413,0.5309174000000001,32,0,0,14,12,16
django__django-13590,0.46179380000000003,28,0,0,12,12,13
django__django-15629,0.5970063999999998,36,0,0,21,14,25
sympy__sympy-13031,1.9356108,95,0,0,18,16,27
astropy__astropy-14369,0.28848640000000003,17,0,0,6,6,8
sphinx-doc__sphinx-9658,0.4368533999999999,34,0,0,8,8,4
django__django-15503,0.7507685999999998,41,0,0,16,15,15
pydata__xarray-7233,0.27475799999999995,24,0,0,6,6,8
django__django-11133,0.25293600000000005,21,0,0,4,4,5
matplotlib__matplotlib-21568,0.42825,31,0,0,12,11,14
psf__requests-1142,0.411068,28,0,0,14,13,15
pydata__xarray-3677,0.324688,24,0,0,7,7,10
django__django-16595,0.32259319999999997,27,0,0,4,4,9
django__django-17084,0.2970198,23,0,0,10,7,23
sympy__sympy-12489,0.3899879999999999,27,0,0,7,6,8
django__django-16938,0.23381639999999998,17,0,0,4,3,5
scikit-learn__scikit-learn-15100,0.4456352000000001,31,0,0,14,13,18
matplotlib__matplotlib-23476,0.8770608,60,0,0,17,17,18
django__django-16502,0.4435028,19,0,0,8,3,7
django__django-14631,0.2797991999999999,17,0,0,4,4,3
sympy__sympy-13877,0.3423368,28,0,0,2,2,6
scikit-learn__scikit-learn-13779,0.1832774,16,0,0,3,3,4
matplotlib__matplotlib-24177,0.6715494000000001,50,0,0,13,13,32
django__django-15252,0.7079258,31,0,0,9,7,10
django__django-11066,0.20036840000000003,15,0,0,3,2,4
django__django-14170,0.4603822000000002,38,0,0,7,6,14
django__django-16082,0.29067200000000004,25,0,0,9,8,10
django__django-15467,0.20975660000000002,17,0,0,2,1,3
django__django-16256,0.45435400000000004,29,0,0,7,4,9
django__django-13741,0.124492,9,0,0,2,1,2
django__django-11815,0.4097052,30,0,0,11,8,13
django__django-13925,0.33318499999999995,26,0,0,5,5,7
django__django-11276,0.33623860000000005,25,0,0,6,5,6
scikit-learn__scikit-learn-13135,0.28618180000000004,23,0,0,3,3,4
sympy__sympy-22456,1.4591313999999997,91,0,0,18,15,21
sympy__sympy-18199,0.4227979999999999,35,0,0,11,11,15
astropy__astropy-13033,0.3079096,19,0,0,4,4,5
scikit-learn__scikit-learn-11578,0.3192074,28,0,0,2,2,3
django__django-11163,0.271783,24,0,0,2,2,2
scikit-learn__scikit-learn-11310,0.31199240000000006,27,0,0,10,10,10
sphinx-doc__sphinx-8459,0.43164900000000006,31,0,0,5,4,5
