name,instance_cost,api_calls,n_task_description_edits,n_reflection_prompt_edits,n_tools_created,n_unique_tools_created,n_custom_tool_uses
scikit-learn__scikit-learn-12973,0.3169394,12,1,1,4,4,2
django__django-11749,0.10617935,15,0,0,7,6,16
django__django-15127,0.1345707,14,0,0,4,2,3
django__django-11119,0.09764115000000004,36,0,0,3,3,8
django__django-16612,0.04388945000000001,13,0,0,3,2,6
psf__requests-5414,0.2992496,64,0,0,13,4,36
django__django-16429,0.12982245,3,1,0,6,5,13
pytest-dev__pytest-7521,0.11858505,22,0,0,4,4,11
mwaskom__seaborn-3069,0.121313,2,0,0,14,12,41
sympy__sympy-23413,0.4028645,2,0,0,10,2,14
django__django-13590,0.192395,2,0,0,0,0,0
django__django-15629,0.30053379999999996,21,0,0,12,6,17
sympy__sympy-13031,0.2259994500000001,52,3,3,7,6,8
astropy__astropy-14369,0.62529645,25,0,0,9,3,13
sphinx-doc__sphinx-9658,0.31102040000000003,51,0,0,14,5,25
django__django-15503,3.1236807,41,1,1,10,6,13222
pydata__xarray-7233,0.27521670000000004,15,0,0,5,5,11
django__django-11133,0.09547194999999999,33,0,0,5,4,14
matplotlib__matplotlib-21568,0.21231729999999996,36,0,0,14,10,24
psf__requests-1142,0.2514436,49,0,0,15,10,38
pydata__xarray-3677,0.28056264999999997,12,0,0,4,4,9
django__django-16595,0.12031035000000001,21,2,2,3,3,9
django__django-17084,0.35530264999999983,88,0,0,19,5,41
sympy__sympy-12489,0.15336404999999997,42,0,0,10,3,14
django__django-16938,0.20487809999999995,18,1,1,3,2,5
scikit-learn__scikit-learn-15100,0.05345085,14,0,0,5,2,11
matplotlib__matplotlib-23476,0.3563445,2,0,0,8,7,8
django__django-16502,0.2363456,12,0,0,5,4,9
django__django-14631,0.37893039999999995,19,0,0,2,2,3
sympy__sympy-13877,0.11098770000000001,14,2,2,6,6,18
scikit-learn__scikit-learn-13779,0.7379891500000001,31,2,2,14,12,34
matplotlib__matplotlib-24177,0.83052625,79,0,0,27,27,46
django__django-15252,0.38682289999999997,63,0,0,7,4,48
django__django-11066,0.1143875,19,0,0,6,2,11
django__django-14170,0.29240945,19,1,1,6,2,8
django__django-16082,0.8148449499999999,22,2,0,1,1,2
django__django-15467,0.08143,25,0,0,3,2,4
django__django-16256,0.5161494,32,2,2,1,1,3
django__django-13741,0.1053421,7,0,0,0,0,0
django__django-11815,0.18762954999999998,38,0,0,16,4,26
django__django-13925,0.1272613,23,0,0,11,8,19
django__django-11276,0.07757525,21,0,0,6,5,10
scikit-learn__scikit-learn-13135,0.13956254999999998,13,1,1,4,3,7
sympy__sympy-22456,0.279947,58,0,0,28,2,55
sympy__sympy-18199,0.06278035,7,1,1,4,3,15
astropy__astropy-13033,0.7538151999999999,18,3,3,2,2,3
scikit-learn__scikit-learn-11578,0.2554843,37,0,0,2,2,6
django__django-11163,0.019675299999999996,11,0,0,4,2,5
scikit-learn__scikit-learn-11310,0.33869505,30,0,0,5,5,19
sphinx-doc__sphinx-8459,0.40282494999999996,43,2,2,15,10,25
