name,instance_cost,api_calls,n_task_description_edits,n_reflection_prompt_edits,n_tools_created,n_unique_tools_created,n_custom_tool_uses
scikit-learn__scikit-learn-12973,0.24346559999999995,19,0,0,4,2,4
django__django-11749,0.38488539999999993,24,0,0,13,12,11
django__django-15127,0.2822616,21,0,0,1,1,2
django__django-11119,0.15725160000000002,12,0,0,1,1,2
django__django-16612,0.292375,24,0,0,4,2,5
psf__requests-5414,0.6906848,37,0,0,9,7,13
django__django-16429,0.126086,7,0,0,2,2,3
pytest-dev__pytest-7521,0.1610676,12,0,0,1,1,2
mwaskom__seaborn-3069,0.7033630000000002,44,0,0,21,21,28
sympy__sympy-23413,0.6379892,36,0,0,15,15,14
django__django-13590,0.428782,24,0,0,9,8,10
django__django-15629,0.365802,23,0,0,11,11,18
sympy__sympy-13031,1.0689107999999998,63,0,0,16,16,20
astropy__astropy-14369,0.3337552000000001,18,0,0,3,3,5
sphinx-doc__sphinx-9658,0.5399698,30,0,0,6,6,14
django__django-15503,0.8857892000000002,37,0,0,15,14,14
pydata__xarray-7233,0.2992824,23,0,0,5,5,9
django__django-11133,0.37630860000000005,26,0,0,7,7,9
matplotlib__matplotlib-21568,0.31466359999999993,20,0,0,9,7,9
psf__requests-1142,0.46417819999999993,31,0,0,16,12,28
pydata__xarray-3677,0.25649659999999996,20,0,0,5,5,10
django__django-16595,0.1411154,10,0,0,3,3,3
django__django-17084,0.33899599999999985,23,0,0,16,13,18
sympy__sympy-12489,0.5242913999999999,39,0,0,7,5,8
django__django-16938,0.13928939999999998,7,0,0,2,1,3
scikit-learn__scikit-learn-15100,0.49324699999999994,20,0,0,12,9,12
matplotlib__matplotlib-23476,1.0076141999999995,42,0,0,10,10,29
django__django-16502,0.5073449999999999,25,0,0,9,4,11
django__django-14631,0.6300083999999999,44,0,0,9,7,16
sympy__sympy-13877,0.4894474,26,0,0,7,2,8
scikit-learn__scikit-learn-13779,0.20106500000000002,13,0,0,2,2,3
matplotlib__matplotlib-24177,0.40398939999999994,27,0,0,11,2,19
django__django-15252,0.6002036000000001,27,0,0,12,8,12
django__django-11066,0.14091499999999998,11,0,0,0,0,0
django__django-14170,0.18515299999999998,12,0,0,1,1,2
django__django-16082,0.1476992,14,0,0,2,2,4
django__django-15467,0.5377962000000001,45,0,0,3,3,8
django__django-16256,0.5503473999999999,31,0,0,9,7,7
django__django-13741,0.24313979999999996,19,0,0,5,4,6
django__django-11815,0.2771108,18,0,0,6,5,7
django__django-13925,0.40014079999999996,22,0,0,5,4,12
django__django-11276,0.374488,27,0,0,3,2,3
scikit-learn__scikit-learn-13135,0.1459488,9,0,0,1,1,2
sympy__sympy-22456,1.0614147999999997,69,0,0,34,32,36
sympy__sympy-18199,0.358854,29,0,0,6,5,7
astropy__astropy-13033,0.324784,19,0,0,8,8,9
scikit-learn__scikit-learn-11578,0.272778,15,0,0,2,2,3
django__django-11163,0.171384,11,0,0,1,1,2
scikit-learn__scikit-learn-11310,0.32992540000000004,23,0,0,5,5,6
sphinx-doc__sphinx-8459,2.06434,93,0,0,29,16,15
