name,instance_cost,api_calls,n_task_description_edits,n_reflection_prompt_edits,n_tools_created,n_unique_tools_created,n_custom_tool_uses
scikit-learn__scikit-learn-12973,0.1722448,14,0,0,2,2,2
django__django-11749,0.36563759999999995,17,0,0,6,6,10
django__django-15127,0.20193799999999998,18,0,0,2,1,4
django__django-11119,0.2099512,20,0,0,2,2,3
django__django-16612,0.1337002,10,0,0,1,1,2
psf__requests-5414,0.5707882,28,0,0,9,9,20
django__django-16429,0.1658812,8,0,0,4,4,5
pytest-dev__pytest-7521,0.14002520000000002,11,0,0,1,1,2
mwaskom__seaborn-3069,0.7580645999999999,44,0,0,25,25,29
sympy__sympy-23413,0.7683961999999999,50,0,0,21,17,22
django__django-13590,0.36233499999999996,24,0,0,10,7,12
django__django-15629,0.34777660000000005,24,0,0,9,7,9
sympy__sympy-13031,1.0311633999999998,47,0,0,16,16,20
astropy__astropy-14369,0.40423679999999995,26,0,0,4,3,8
sphinx-doc__sphinx-9658,0.5303032,28,0,0,7,7,11
django__django-15503,0.8572918,36,0,0,18,17,30
pydata__xarray-7233,0.2429202,19,0,0,3,3,4
django__django-11133,0.38294239999999996,30,0,0,6,6,8
matplotlib__matplotlib-21568,0.35274679999999997,22,0,0,11,8,10
psf__requests-1142,0.5102068000000001,36,0,0,9,9,14
pydata__xarray-3677,0.36170519999999995,26,0,0,7,7,9
django__django-16595,0.12397259999999999,9,0,0,3,3,4
django__django-17084,0.5788593999999998,39,0,0,14,14,28
sympy__sympy-12489,0.8930452,54,0,0,8,6,15
django__django-16938,0.31218100000000004,19,0,0,8,6,8
scikit-learn__scikit-learn-15100,0.2754646,16,0,0,11,9,11
matplotlib__matplotlib-23476,0.7180897999999999,32,0,0,7,7,14
django__django-16502,0.420528,19,0,0,7,7,9
django__django-14631,0.3342266,25,0,0,8,8,7
sympy__sympy-13877,0.25666,16,0,0,5,3,6
scikit-learn__scikit-learn-13779,0.1777894,12,0,0,4,4,6
matplotlib__matplotlib-24177,0.6194919999999999,40,0,0,10,10,29
django__django-15252,0.294435,12,0,0,5,4,5
django__django-11066,0.1197892,9,0,0,0,0,0
django__django-14170,0.2361322,15,1,0,1,1,2
django__django-16082,0.19443719999999998,16,0,0,3,2,4
django__django-15467,0.29656959999999993,23,0,0,5,2,8
django__django-16256,0.3162692,18,0,0,6,2,6
django__django-13741,0.2524562,18,0,0,3,2,3
django__django-11815,0.16546919999999998,10,0,0,3,3,6
django__django-13925,0.31789339999999994,17,0,0,8,6,16
django__django-11276,0.2101822,13,1,0,2,1,2
scikit-learn__scikit-learn-13135,0.11424480000000001,8,0,0,4,2,5
sympy__sympy-22456,1.1209066,65,0,0,17,13,17
sympy__sympy-18199,0.2918114,25,0,0,6,6,10
astropy__astropy-13033,0.30441300000000004,16,0,0,4,4,4
scikit-learn__scikit-learn-11578,0.17718,10,0,0,2,2,2
django__django-11163,0.3012648,24,0,0,2,2,3
scikit-learn__scikit-learn-11310,0.3296507999999999,27,0,0,3,3,10
sphinx-doc__sphinx-8459,0.38266479999999997,26,0,0,3,3,4
