name,instance_cost,api_calls,n_task_description_edits,n_reflection_prompt_edits,n_tools_created,n_unique_tools_created,n_custom_tool_uses
scikit-learn__scikit-learn-12973,0.14043335000000007,36,,,8,7,9
django__django-11749,0.27254535,58,,,10,7,21
django__django-15127,0.13723340000000003,36,,,6,4,8
django__django-11119,0.09755395000000001,28,,,5,5,6
django__django-16612,0.19082855,56,,,6,6,10
psf__requests-5414,0.2723692499999999,75,,,13,13,15
django__django-16429,0.07202520000000001,19,,,3,3,5
pytest-dev__pytest-7521,0.09723040000000001,31,,,5,5,12
mwaskom__seaborn-3069,0.4746467500000001,95,,,13,12,15
sympy__sympy-23413,0.6531817,93,,,41,39,67
django__django-13590,0.16420739999999998,39,,,9,7,11
django__django-15629,0.4632953000000002,102,,,12,11,17
sympy__sympy-13031,0.06136364999999999,19,,,2,2,2
astropy__astropy-14369,0.16351355,37,,,11,10,16
sphinx-doc__sphinx-9658,0.2570731999999999,62,,,5,5,10
django__django-15503,0.4259958500000001,81,,,15,15,23
pydata__xarray-7233,0.11408924999999999,27,,,0,0,0
django__django-11133,0.1233426,28,,,8,4,11
matplotlib__matplotlib-21568,0.17450895000000002,43,,,12,10,13
psf__requests-1142,0.1351695,33,,,7,6,7
pydata__xarray-3677,0.08768950000000002,23,,,6,6,7
django__django-16595,0.20904350000000002,20,,,5,4,7
django__django-17084,0.3026117000000001,58,,,13,8,16
sympy__sympy-12489,0.4882769500000001,80,,,24,23,56
django__django-16938,0.3599671,73,,,14,9,17
scikit-learn__scikit-learn-15100,0.11651325,26,,,11,6,11
matplotlib__matplotlib-23476,0.1408183,40,,,7,6,13
django__django-16502,0.31812635,59,,,8,6,11
django__django-14631,0.5691211500000001,112,,,20,18,28
sympy__sympy-13877,0.11923940000000004,36,,,5,5,12
scikit-learn__scikit-learn-13779,0.08974270000000001,24,,,5,4,6
matplotlib__matplotlib-24177,0.3892788,58,,,18,17,19
django__django-15252,0.48444130000000013,76,,,14,6,16
django__django-11066,0.032696600000000006,8,,,2,1,2
django__django-14170,0.21141470000000007,50,,,6,6,8
django__django-16082,0.20255579999999998,51,,,5,5,8
django__django-15467,0.09789410000000001,29,,,6,5,6
django__django-16256,0.13661515000000005,25,,,1,1,1
django__django-13741,0.0859553,28,,,6,5,6
django__django-11815,0.23400515,53,,,14,9,15
django__django-13925,0.3346779499999999,73,,,6,6,13
django__django-11276,0.21969274999999996,64,,,11,9,11
scikit-learn__scikit-learn-13135,0.16353825000000002,36,,,10,8,16
sympy__sympy-22456,0.3341567000000001,78,,,6,5,6
sympy__sympy-18199,0.0905566,23,,,6,6,7
astropy__astropy-13033,0.15667864999999997,40,,,11,10,14
scikit-learn__scikit-learn-11578,0.0870953,20,,,4,4,7
django__django-11163,0.10977970000000002,33,,,6,5,7
scikit-learn__scikit-learn-11310,0.15325315000000003,36,,,8,7,10
sphinx-doc__sphinx-8459,0.20692444999999995,44,,,8,8,8
