name,instance_cost,api_calls,n_task_description_edits,n_reflection_prompt_edits,n_tools_created,n_unique_tools_created,n_custom_tool_uses
scikit-learn__scikit-learn-12973,0.037562750000000006,15,,,7,4,12
django__django-11749,0.0375903,16,,,8,5,18
django__django-15127,0.05630925000000001,24,,,8,2,10
django__django-11119,0.0135171,11,,,4,3,8
django__django-16612,0.039804900000000004,30,,,4,3,12
psf__requests-5414,0.035269049999999996,24,,,14,6,16
django__django-16429,0.029102399999999997,15,,,3,3,3
pytest-dev__pytest-7521,0.014234900000000002,13,,,3,3,4
mwaskom__seaborn-3069,0.0484704,23,,,9,5,19
sympy__sympy-23413,0.0562012,19,,,9,7,11
django__django-13590,0.08068905,27,,,7,6,11
django__django-15629,0.061336949999999994,32,,,6,3,9
sympy__sympy-13031,0.29642324999999997,86,,,9,9,19
astropy__astropy-14369,0.06791959999999998,24,,,5,5,11
sphinx-doc__sphinx-9658,0.16855470000000003,46,,,24,22,34
django__django-15503,0.0881175,27,,,12,6,20
pydata__xarray-7233,0.02101345,13,,,4,4,5
django__django-11133,0.12059225,40,,,6,5,14
matplotlib__matplotlib-21568,0.06971539999999998,23,,,9,9,9
psf__requests-1142,0.02659525,18,,,5,4,6
pydata__xarray-3677,0.0158286,11,,,4,3,4
django__django-16595,0.04565665,17,,,4,4,5
django__django-17084,0.08854485,23,,,11,4,17
sympy__sympy-12489,0.27811090000000005,75,,,9,7,12
django__django-16938,0.0336887,11,,,4,2,6
scikit-learn__scikit-learn-15100,0.0225843,14,,,8,3,9
matplotlib__matplotlib-23476,0.13671435,43,,,13,10,14
django__django-16502,0.07469139999999999,28,,,9,8,12
django__django-14631,0.16665904999999995,51,,,14,10,46
sympy__sympy-13877,0.10868759999999998,19,,,4,4,9
scikit-learn__scikit-learn-13779,0.10854604999999998,29,,,6,5,17
django__django-15252,0.0298427,18,,,5,2,9
django__django-11066,0.006069949999999999,7,,,1,1,1
django__django-14170,0.026313699999999995,19,,,6,4,6
django__django-16082,0.11338105,49,,,10,7,17
django__django-15467,0.30570565,29,,,4,3,10
django__django-16256,0.054718449999999995,17,,,11,6,11
django__django-13741,0.06394994999999998,22,,,5,3,10
django__django-11815,0.029587699999999998,19,,,5,2,6
django__django-13925,0.039353849999999996,22,,,11,5,12
django__django-11276,0.0433313,17,,,6,4,13
scikit-learn__scikit-learn-13135,0.11426995000000001,23,,,7,5,14
sympy__sympy-22456,0.3493548999999999,108,,,25,12,66
sympy__sympy-18199,0.0225166,17,,,5,5,8
astropy__astropy-13033,0.0534105,2,,,3,3,14
scikit-learn__scikit-learn-11578,0.0198809,12,,,2,2,3
django__django-11163,0.028229299999999992,17,,,4,3,5
scikit-learn__scikit-learn-11310,0.05113415,22,,,6,5,10
sphinx-doc__sphinx-8459,0.04746925,17,,,4,4,4
