name,instance_cost,api_calls,n_task_description_edits,n_reflection_prompt_edits,n_tools_created,n_unique_tools_created,n_custom_tool_uses
scikit-learn__scikit-learn-12973,0.5210067,44,,,7,5,17
django__django-11749,0.7615704000000003,58,,,12,10,24
django__django-15127,0.4272285,43,,,6,5,8
django__django-11119,0.5214954000000002,50,,,9,6,9
django__django-16612,0.48412950000000005,48,,,8,6,13
psf__requests-5414,1.08819765,78,,,19,19,37
django__django-16429,0.30636240000000003,33,,,10,10,16
pytest-dev__pytest-7521,0.5260233000000001,53,,,11,10,30
mwaskom__seaborn-3069,1.08028635,73,,,16,14,58
sympy__sympy-23413,1.4148712499999998,92,,,24,22,50
django__django-13590,0.44434545,44,,,9,9,21
django__django-15629,1.14933255,70,,,9,9,41
sympy__sympy-13031,0.5297324999999999,52,,,5,5,6
astropy__astropy-14369,0.6349173,45,,,6,6,9
sphinx-doc__sphinx-9658,1.2332687999999998,90,,,21,21,41
django__django-15503,0.9322252500000001,61,,,11,10,34
pydata__xarray-7233,0.47464425,45,,,12,11,13
django__django-11133,0.48953159999999996,49,,,10,9,22
matplotlib__matplotlib-21568,1.3776580499999997,86,,,16,15,24
psf__requests-1142,0.70336785,59,,,20,19,28
pydata__xarray-3677,0.506412,51,,,7,7,30
django__django-16595,0.51846405,43,,,8,8,16
django__django-17084,0.5469360000000001,50,,,10,10,12
sympy__sympy-12489,0.7248811500000002,56,,,13,11,14
django__django-16938,1.0006035,72,,,13,10,12
scikit-learn__scikit-learn-15100,0.26074379999999997,34,,,9,7,10
matplotlib__matplotlib-23476,1.5131611499999997,102,,,23,23,67
django__django-16502,0.7983683999999996,63,,,11,11,19
django__django-14631,1.0291614000000004,89,,,7,7,40
sympy__sympy-13877,0.6841809,52,,,12,12,16
scikit-learn__scikit-learn-13779,0.37837125000000005,38,,,9,8,12
matplotlib__matplotlib-24177,1.1536625999999999,85,,,21,19,37
django__django-15252,0.6366330000000001,47,,,6,6,19
django__django-11066,0.3274461,36,,,7,6,13
django__django-14170,0.5297041499999999,51,,,10,10,20
django__django-16082,0.5143204499999999,44,,,9,9,21
django__django-15467,0.3567246,36,,,6,6,11
django__django-16256,0.6143193000000001,36,,,7,7,15
django__django-13741,0.7077990000000001,61,,,14,7,19
django__django-11815,0.7532379,55,,,15,8,18
django__django-13925,0.6779465999999998,56,,,10,10,22
django__django-11276,0.6052294500000001,47,,,15,9,26
scikit-learn__scikit-learn-13135,0.45892364999999985,43,,,12,9,13
sympy__sympy-22456,0.6765149999999998,69,,,11,11,15
sympy__sympy-18199,0.7540765499999998,65,,,16,14,18
astropy__astropy-13033,0.5058292499999999,49,,,8,8,16
scikit-learn__scikit-learn-11578,0.61929015,35,,,10,10,10
django__django-11163,0.35730104999999995,39,,,6,4,12
scikit-learn__scikit-learn-11310,0.9230285999999998,64,,,13,10,14
sphinx-doc__sphinx-8459,1.11169995,71,,,17,15,36
