name,instance_cost,api_calls,n_task_description_edits,n_reflection_prompt_edits,n_tools_created,n_unique_tools_created,n_custom_tool_uses
scikit-learn__scikit-learn-12973,0.0162495,8,,,0,0,0
django__django-11749,0.07399335,22,,,0,0,0
django__django-15127,0.025079999999999998,12,,,0,0,0
django__django-11119,0.0211569,9,,,0,0,0
django__django-16612,0.044188899999999996,17,,,3,2,3
psf__requests-5414,0.027657249999999998,11,,,0,0,0
django__django-16429,0.01595915,8,,,0,0,0
pytest-dev__pytest-7521,0.05542065,18,,,4,1,6
mwaskom__seaborn-3069,0.047653249999999994,16,,,0,0,0
sympy__sympy-23413,0.07668475000000001,21,,,0,0,0
django__django-13590,0.0207183,10,,,0,0,0
django__django-15629,0.0499094,16,,,0,0,0
sympy__sympy-13031,0.05135245,18,,,1,1,1
astropy__astropy-14369,0.034749,12,,,0,0,0
sphinx-doc__sphinx-9658,0.073153,23,,,0,0,0
django__django-15503,0.04344750000000001,16,,,0,0,0
pydata__xarray-7233,0.01753805,8,,,0,0,0
django__django-11133,0.029555699999999997,14,,,2,1,2
matplotlib__matplotlib-21568,0.06398564999999999,18,,,0,0,0
psf__requests-1142,0.05985034999999999,20,,,0,0,0
pydata__xarray-3677,0.020906999999999995,11,,,0,0,0
django__django-16595,0.09130300000000001,31,,,0,0,0
django__django-17084,0.028773999999999997,11,,,0,0,0
sympy__sympy-12489,0.07936444999999999,21,,,0,0,0
django__django-16938,0.030690000000000002,12,,,5,4,5
scikit-learn__scikit-learn-15100,0.015686,9,,,0,0,0
matplotlib__matplotlib-23476,0.07811550000000002,24,,,0,0,0
django__django-16502,0.07048184999999998,28,,,0,0,0
django__django-14631,0.03918795,16,,,0,0,0
sympy__sympy-13877,0.033446,10,,,0,0,0
scikit-learn__scikit-learn-13779,0.011271,7,,,0,0,0
matplotlib__matplotlib-24177,0.21170739999999996,53,,,0,0,0
django__django-15252,0.024818600000000003,12,,,1,1,1
django__django-11066,0.015528499999999999,9,,,0,0,0
django__django-14170,0.0243412,13,,,0,0,0
django__django-16082,0.019596899999999997,11,,,0,0,0
django__django-15467,0.01235735,8,,,0,0,0
django__django-16256,0.08760455,23,,,0,0,0
django__django-13741,0.012187049999999998,8,,,0,0,0
django__django-11815,0.02458945,11,,,0,0,0
django__django-13925,0.049044550000000006,19,,,0,0,0
django__django-11276,0.026825499999999995,10,,,1,1,1
scikit-learn__scikit-learn-13135,0.01302735,7,,,0,0,0
sympy__sympy-22456,0.024305449999999996,9,,,0,0,0
sympy__sympy-18199,0.0226414,11,,,0,0,0
astropy__astropy-13033,0.0306361,13,,,0,0,0
scikit-learn__scikit-learn-11578,0.010739549999999999,5,,,0,0,0
django__django-11163,0.0069972,4,,,0,0,0
scikit-learn__scikit-learn-11310,0.02235305,10,,,0,0,0
sphinx-doc__sphinx-8459,0.029806849999999996,14,,,0,0,0
