name,instance_cost,api_calls,n_task_description_edits,n_reflection_prompt_edits,n_tools_created,n_unique_tools_created,n_custom_tool_uses
scikit-learn__scikit-learn-12973,0.30492525000000004,16,,,4,3,7
django__django-11749,0.1257025,6,,,1,1,1
django__django-15127,0.1613775,12,,,0,0,0
django__django-11119,0.20154725,13,,,2,1,2
django__django-16612,0.13874750000000002,8,,,2,1,2
psf__requests-5414,0.19951225000000003,13,,,3,1,3
django__django-16429,0.132895,8,,,3,2,4
pytest-dev__pytest-7521,0.39011499999999993,16,,,2,1,2
mwaskom__seaborn-3069,0.49178050000000006,19,,,1,1,1
sympy__sympy-23413,0.668571,15,,,1,1,1
django__django-13590,0.17262575,11,,,0,0,0
django__django-15629,0.46392425,21,,,0,0,0
sympy__sympy-13031,0.4399612500000001,25,,,1,1,1
astropy__astropy-14369,0.24609250000000002,12,,,0,0,0
sphinx-doc__sphinx-9658,0.14235050000000002,10,,,1,1,1
django__django-15503,0.21043800000000001,11,,,0,0,0
pydata__xarray-7233,0.09738575000000001,6,,,0,0,0
django__django-11133,0.29533175000000006,13,,,3,1,4
matplotlib__matplotlib-21568,0.25092975,12,,,2,1,7
psf__requests-1142,0.248736,13,,,0,0,0
pydata__xarray-3677,0.18990375000000004,8,,,2,2,9
django__django-16595,0.14245275000000002,9,,,2,1,2
django__django-17084,0.2870725,16,,,0,0,0
sympy__sympy-12489,0.5467912500000001,22,,,0,0,0
django__django-16938,0.15469750000000002,7,,,3,3,3
scikit-learn__scikit-learn-15100,0.07075000000000001,5,,,0,0,0
matplotlib__matplotlib-23476,0.33196225,13,,,2,2,2
django__django-16502,0.19756700000000005,9,,,0,0,0
django__django-14631,0.34159000000000006,13,,,0,0,0
sympy__sympy-13877,0.3092825,14,,,0,0,0
scikit-learn__scikit-learn-13779,0.10460125000000002,8,,,0,0,0
matplotlib__matplotlib-24177,0.47266600000000003,16,,,0,0,0
django__django-15252,0.13364700000000002,10,,,0,0,0
django__django-11066,0.058077500000000004,4,,,0,0,0
django__django-14170,0.15452000000000002,10,,,2,2,0
django__django-16082,0.3272657500000001,16,,,2,2,0
django__django-15467,0.13750300000000001,9,,,5,5,8
django__django-16256,0.35123575,13,,,2,1,2
django__django-13741,0.17401875,11,,,1,1,1
django__django-11815,0.09839425,7,,,0,0,0
django__django-13925,0.18759600000000004,14,,,0,0,0
django__django-11276,0.11271225000000001,8,,,2,1,2
scikit-learn__scikit-learn-13135,0.19129500000000002,10,,,2,1,4
sympy__sympy-22456,0.126065,5,,,0,0,0
sympy__sympy-18199,0.18299000000000004,10,,,2,1,2
astropy__astropy-13033,0.18729775,11,,,1,1,2
scikit-learn__scikit-learn-11578,0.15405075000000001,10,,,1,1,1
django__django-11163,0.1184965,9,,,3,2,3
scikit-learn__scikit-learn-11310,0.36255625000000014,18,,,6,2,6
sphinx-doc__sphinx-8459,0.30094000000000004,15,,,0,0,0
